Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CNP,Centerpoint Energy Inc,17.81,0.99,5.89%,17.2,18.24,17.2,10495700,4/9/2020
COF,Capital One Financial Corp,60.11,3.39,5.98%,60.76,62.98,59.22,7633800,4/9/2020
COG,Cabot Oil & Gas Corp,18.88,-0.31,-1.62%,19,19.65,18.5,7212600,4/9/2020
COHR,Coherent Inc,112.99,2.38,2.15%,111.54,116.58,110.02,219900,4/9/2020
COLD,Americold Realty Trust,35.95,1.47,4.26%,34.96,36.27,34.58,3181700,4/9/2020
COLM,Columbia Sprtswr,75.21,2.86,3.95%,73.93,76,73.51,336900,4/9/2020
COMM,Commscope Holding Company,10.41,0.41,4.10%,10.29,10.98,10.03,4539400,4/9/2020
CONE,Cyrusone Inc,67.34,3.52,5.52%,65,68.24,64.07,1956500,4/9/2020
COO,Cooper Companies,296.57,-0.86,-0.29%,295.2,300.25,289.29,429800,4/9/2020
COP,Conocophillips,34.73,-0.95,-2.66%,37.93,37.98,33.29,14200199,4/9/2020
COR,Coresite Realty Corp,120.78,4.5,3.87%,116.72,122,115.92,484900,4/9/2020
COST,Costco Wholesale,300.01,-5.96,-1.95%,299.45,304.35,297.58,6492600,4/9/2020
COTY,Coty Inc,6.02,0.14,2.38%,6.19,6.35,5.97,7429200,4/9/2020
COUP,Coupa Software Inc,135.55,-0.83,-0.61%,138.13,142.32,133.74,1624400,4/9/2020
CPA,Copa Holdings S.A.,45.5,3.45,8.20%,45,46.99,43.68,879500,4/9/2020
CPB,Campbell Soup Company,47.75,1.59,3.44%,45.67,48.71,45.63,3517200,4/9/2020
CPRI,Capri Holdings Ltd,13.38,-0.41,-2.97%,14.94,15.42,13.19,9963000,4/9/2020
CPRT,Copart Inc,74.99,3.01,4.18%,73.93,77.11,73.46,1955300,4/9/2020
CPT,Camden Property Trust,89.09,3.39,3.96%,87.8,91.08,87.64,766200,4/9/2020
CR,Crane Company,54.04,0.13,0.24%,55.31,56.63,53.29,469300,4/9/2020
CREE,Cree Inc,38.48,-0.68,-1.74%,39.41,40.69,37.76,779300,4/9/2020
CRI,Carter's Inc,77.61,-1.03,-1.31%,80.72,82.48,76.56,675100,4/9/2020
CRL,Charles River Laboratories Intl,138.96,-2.47,-1.75%,144.71,147.06,137.52,462700,4/9/2020
CRM,Salesforce.com Inc,154.55,3.43,2.27%,152.39,156.1,151.68,7094500,4/9/2020
CRNC,Cerence Inc,18.99,0.21,1.12%,19.37,19.84,18.53,971300,4/9/2020
CSCO,Cisco Systems Inc,41.2,-0.54,-1.29%,42.09,42.2,40.85,27650100,4/9/2020
CSGP,Costar Group Inc,631.28,16.67,2.71%,614.61,639.74,607.38,370900,4/9/2020
CSL,Carlisle Companies Inc,126.68,1.2,0.96%,126.83,130,126.68,320000,4/9/2020
CSX,CSX Corp,64,0.48,0.76%,63.89,64.8,63.1,5150600,4/9/2020
CTAS,Cintas Corp,198.74,6.33,3.29%,197.94,207.15,197.51,934400,4/9/2020
CTL,Centurylink,10.65,0.82,8.34%,10,10.9,9.91,15495101,4/9/2020
CTLT,Catalent Inc,56.46,1.36,2.47%,56.32,57.29,55.19,1006300,4/9/2020
CTSH,Cognizant Tech Sol,54.28,2.89,5.62%,51.92,55.25,51.92,6208800,4/9/2020
CTVA,Corteva Inc,27.93,1.88,7.22%,26.2,28.07,26.2,6076900,4/9/2020
CTXS,Citrix Systems Inc,139.4,-7.42,-5.05%,146.23,146.64,138.76,3334900,4/9/2020
CUBE,Cubesmart,27.7,1.03,3.86%,27.05,28.33,27.01,2393400,4/9/2020
CUZ,Cousins Properties Inc,32.91,1.14,3.59%,32.52,33.5,31.91,1661700,4/9/2020
CVET,Covetrus Inc,8.4,0.89,11.85%,7.75,8.88,7.62,1372600,4/9/2020
CVNA,Carvana Co. Cl A,61.35,2.87,4.91%,62.36,70.83,60.01,6568800,4/9/2020
CVS,CVS Corp,60.47,1.06,1.78%,59.52,61.45,59.32,9169400,4/9/2020
CVX,Chevron Corp,84.31,-1.67,-1.94%,88.74,89.91,81.52,17048500,4/9/2020
CW,Curtiss-Wright Corp,101.03,3.32,3.40%,100.21,102.82,98.34,313900,4/9/2020
CXO,Concho Resources Inc,52.74,0.61,1.17%,54.57,55.42,49.22,3320800,4/9/2020
CXP,Columbia Property Trust Inc,14.27,0.73,5.39%,14.03,14.69,13.59,1004500,4/9/2020
CY,Cypress Semiconductor,23.82,0,0.00%,23.82,23.83,23.81,7967100,4/9/2020
CZR,Caesars Entertainment Corp,7.93,0.49,6.59%,7.85,8.2,7.54,16120899,4/9/2020
D,Dominion Resources,81.59,3.37,4.31%,78.63,82.64,78.63,5479100,4/9/2020
DAL,Delta Air Lines Inc,24.39,1.16,4.99%,25.4,25.53,23.35,91692797,4/9/2020
DBX,Dropbox Inc,18.06,-0.23,-1.26%,18.5,18.95,17.87,4776700,4/9/2020
DCI,Donaldson Company,42.67,0.99,2.38%,42.48,43.31,41.99,405100,4/9/2020
DD,Du Pont De.Nemours Inc,40.78,1.92,4.94%,40.2,41.55,39.87,9293700,4/9/2020
DE,Deere & Company,145.75,-1.02,-0.69%,147.28,150.21,144.13,1596100,4/9/2020
DEI,Douglas Emmett,33.22,1.55,4.89%,32.45,33.75,32.28,1193400,4/9/2020
DELL,Dell Technologies Inc,41.56,1.18,2.92%,41.67,42.75,41.14,4231300,4/9/2020
DFS,Discover Financial Services,39.21,1.99,5.35%,38.5,42,38.5,5687900,4/9/2020
DG,Dollar General Corp,169.24,0.02,0.01%,167.11,171.29,166.65,2268100,4/9/2020
DGX,Quest Diagnostics Inc,89.77,1.93,2.20%,89,93.14,88.87,1953300,4/9/2020
DHI,D.R. Horton,41.04,1.39,3.51%,40.96,42.42,40.32,7529200,4/9/2020
DHR,Danaher Corp,145.73,0.6,0.41%,144.54,146.82,144.11,3275300,4/9/2020
DIS,Walt Disney Company,104.5,3.43,3.39%,107.92,107.99,103.53,31485498,4/9/2020
DISCA,Discovery Comm A,22.32,0.74,3.43%,22.27,22.75,21.99,4954600,4/9/2020
DISCK,Discovery Comm Inc,20.14,0.71,3.65%,20.13,20.51,19.79,3547600,4/9/2020
DISH,Dish Network Corp,23.07,1.29,5.92%,22.36,23.59,22.26,3272800,4/9/2020
DKS,Dick's Sporting Goods Inc,27.58,2.15,8.45%,26.5,27.78,26.08,4149900,4/9/2020
DLB,Dolby Laboratories,57.26,1.08,1.92%,56.95,58.31,56.47,415200,4/9/2020
DLR,Digital Realty Trust,148.29,2.48,1.70%,146.97,152.59,146.63,3032900,4/9/2020
DLTR,Dollar Tree Inc,77.56,-1.66,-2.10%,79.64,80.72,76.97,2498600,4/9/2020
DNKN,Dunkin' Brands Group,57.92,-0.68,-1.16%,60.66,63.72,56.66,2013600,4/9/2020
DOCU,Docusign Inc,90.63,2.26,2.56%,89,91.38,86.13,3370500,4/9/2020
DOV,Dover Corp,89.41,-0.19,-0.21%,90.44,93.1,88.48,1335500,4/9/2020
DOW,Dow Inc,36.56,1.77,5.09%,35.75,37.74,35.54,9892199,4/9/2020
DOX,Amdocs Ltd Ord,58.44,0.41,0.71%,59.02,60.07,58.05,665600,4/9/2020
